Date,World,Africa,Asia,Europe,North_America,Oceania,South_America
13/08/2020,289923,10405,92513,27189,64775,398,94643
14/08/2020,306942,12544,94784,26649,81433,327,91205
15/08/2020,248870,11812,91431,20095,64133,265,61134
16/08/2020,209936,9958,83777,17152,43342,332,55375
17/08/2020,212756,8852,77885,29406,44793,282,51538
18/08/2020,259276,8652,93051,22565,54759,236,80013
19/08/2020,277305,10890,98372,27712,57328,252,82751
20/08/2020,271311,10612,97004,30076,56187,196,77236
21/08/2020,261797,10273,97247,31553,59207,201,63316
22/08/2020,263357,10433,95142,22323,56734,212,78513
23/08/2020,202637,9053,84079,20267,40356,153,48729
24/08/2020,228101,7612,86302,35604,41903,145,56535
25/08/2020,245064,7537,82122,26609,52291,335,76170
26/08/2020,281524,8856,112995,25567,52651,168,81287
27/08/2020,287112,8548,103599,39859,61934,143,73029
28/08/2020,285159,8109,103952,36408,57825,208,78657
29/08/2020,260595,8364,104671,24177,53842,125,69416
30/08/2020,219608,8470,103460,22254,41124,91,44209
31/08/2020,264190,6813,94198,41812,42709,178,78480
1/09/2020,266734,7163,103863,29791,52698,111,73108
2/09/2020,281776,8714,110464,34991,50232,188,77187
3/09/2020,285335,7746,111539,36651,56788,95,72516
4/09/2020,301603,8579,115319,41259,59137,154,77155
5/09/2020,273575,7392,115192,30303,55677,87,64924
6/09/2020,228896,7822,117039,26724,36290,56,40965
7/09/2020,225150,6873,101123,49787,32250,137,34980
8/09/2020,246405,7679,118472,37232,38001,104,44917
9/09/2020,285217,8294,125606,40104,43748,87,67378
10/09/2020,304328,8048,127973,46004,49818,106,72379
11/09/2020,316306,8695,129083,48843,55629,142,73914
12/09/2020,288618,7408,124323,37863,57377,46,61601
13/09/2020,248752,6745,120952,30055,47854,44,43102
14/09/2020,267097,6481,115865,55065,42017,197,47472
15/09/2020,280459,6556,122381,42996,46244,40,62242
16/09/2020,304878,7327,131145,51078,48570,47,66711
17/09/2020,315525,8602,129602,55180,54220,48,67873
18/09/2020,326568,8168,126626,60513,61129,38,70094
19/09/2020,293018,8728,123848,44955,56717,177,58593
20/09/2020,255044,8420,117444,39480,48736,15,40949
21/09/2020,259850,6146,105958,65202,41225,30,41289
22/09/2020,284232,6838,117729,53272,48032,172,58189
23/09/2020,311577,8726,123849,61071,52087,86,65758
24/09/2020,320836,8186,123644,65294,60020,26,63666
25/09/2020,329959,7978,122540,69586,59042,129,70684
26/09/2020,285619,6412,121977,53235,54869,27,49099
27/09/2020,247017,8368,113387,44832,40651,4,39775
28/09/2020,262706,5667,98546,67552,48030,13,42898
29/09/2020,282720,7511,114151,48547,52316,175,60020
30/09/2020,324480,8430,125716,78512,50534,154,61134
1/10/2020,319057,7265,119460,70708,57388,18,64218
2/10/2020,329432,8849,117052,76530,64658,125,62218
3/10/2020,297236,8828,107550,71865,60262,20,48711
4/10/2020,260436,8093,108166,75124,41378,14,27661
5/10/2020,311329,4707,97356,81844,72679,292,54451
6/10/2020,316019,6595,108636,84955,55793,12,60028
7/10/2020,349191,10554,116824,98249,60825,158,62581
8/10/2020,359258,10904,108853,110421,70545,92,58443
9/10/2020,360305,8563,107186,118138,67640,356,58422
10/10/2020,355363,13531,108118,111123,65908,20,56663
11/10/2020,289377,8978,98891,88926,54609,27,37946
12/10/2020,289966,5877,90485,110507,51603,536,30958
13/10/2020,319266,7840,99787,111650,61378,29,38582
14/10/2020,380603,11512,104802,140881,70643,357,52408
15/10/2020,406854,9107,101865,155465,76422,19,63976
16/10/2020,410377,10680,100651,157266,83517,234,58029
17/10/2020,371886,14267,96574,146861,66299,18,47867
18/10/2020,331046,8193,91367,133704,61026,9,36747
19/10/2020,374840,9685,82372,160969,79468,759,41587
20/10/2020,388656,9787,90814,159229,74457,63,54306
21/10/2020,439361,10479,98313,195704,75152,631,59082
22/10/2020,481860,10966,97091,220992,93567,30,59214
23/10/2020,493653,10418,97601,230860,94882,666,59226
24/10/2020,456052,11761,88708,210752,91403,19,53409
25/10/2020,358593,9096,85163,155368,68940,79,39947
26/10/2020,483109,10691,72768,280018,76342,592,42698
27/10/2020,468402,8672,84826,226426,91143,20,57315
28/10/2020,520976,11903,93180,256687,101230,851,57125
29/10/2020,551378,11066,93190,283531,105656,17,57918
30/10/2020,571016,13604,92112,297047,114357,14,53882
31/10/2020,472025,11074,86837,234817,98819,12,40466
1/11/2020,439104,10293,87586,221381,87955,10,31879
2/11/2020,547571,7576,83120,331323,93835,1404,30313
3/11/2020,564593,10875,93069,285037,139834,325,35453
4/11/2020,538059,14009,97370,257094,113863,348,55375
5/11/2020,618612,15391,96522,312115,143202,483,50899
6/11/2020,622309,11718,101636,319337,143736,251,45631
7/11/2020,599024,15019,93778,307677,141655,12,40883
8/11/2020,490823,12504,94763,222390,131382,13,29771
9/11/2020,508007,8897,85576,248267,132891,693,31683
10/11/2020,570300,13164,95440,239335,153691,295,68375
11/11/2020,623895,14017,100932,291182,165390,353,52021
12/11/2020,639353,15757,99133,289529,174703,175,60056
13/11/2020,659998,14663,99526,285726,194228,231,65624
14/11/2020,586678,14087,94159,251340,176938,32,50122
15/11/2020,488888,12560,81724,213481,148811,40,32272
16/11/2020,525157,10317,80714,230383,168220,428,35095
17/11/2020,602076,12873,94254,261463,177212,267,56007
18/11/2020,620794,15285,106689,255447,186124,238,57011
19/11/2020,653048,13926,106966,268518,206000,239,57399
20/11/2020,673293,15744,108661,268199,216875,182,63632
21/11/2020,591616,13357,103716,228598,193284,26,52635
22/11/2020,497305,12795,104892,184430,161624,15,33549
23/11/2020,533675,10075,96793,188798,204304,344,33361
24/11/2020,590017,12504,107342,222244,194644,253,53030
25/11/2020,616395,14646,109732,222062,202656,295,67004
26/11/2020,588251,13933,138447,239514,133018,115,63224
27/11/2020,694582,16039,146148,234066,238281,230,59818
